date,max_wind_Speed_mph,mean_wind_speed_mph,max_gust_speed_mph
2/28/2014,25,12,35
3/1/2014,17,10,25
3/2/2014,20,9,26
3/3/2014,18,6,28
3/4/2014,17,5,
3/5/2014,20,6,23
3/6/2014,15,8,20
3/7/2014,14,6,24
3/8/2014,17,4,48
3/9/2014,13,6,18
3/10/2014,20,8,22
3/11/2014,30,11,37
3/12/2014,32,16,40
3/13/2014,17,6,
3/14/2014,13,7,21
3/15/2014,14,6,16
3/16/2014,21,8,23
3/17/2014,22,11,29
3/18/2014,17,5,22
3/19/2014,14,6,26
3/20/2014,18,8,
3/21/2014,20,8,37
3/22/2014,16,8,23
3/23/2014,15,7,20
3/24/2014,18,6,29
3/25/2014,18,8,29
3/26/2014,23,12,35
3/27/2014,17,9,25
3/28/2014,17,9,30
3/29/2014,24,12,29
3/30/2014,17,10,21
3/31/2014,31,13,36
4/1/2014,30,13,36
4/2/2014,21,8,28
4/3/2014,16,8,20
4/4/2014,22,8,28
4/5/2014,17,7,21
4/6/2014,16,5,29
4/7/2014,15,6,20
4/8/2014,16,6,20
4/9/2014,17,8,49
4/10/2014,18,7,26
4/11/2014,24,9,28
4/12/2014,21,11,28
4/13/2014,22,9,25
4/14/2014,21,8,23
4/15/2014,18,8,30
4/16/2014,18,8,24
4/17/2014,17,7,29
4/18/2014,18,8,31
4/19/2014,25,12,38
4/20/2014,21,6,36
4/21/2014,24,9,41
4/22/2014,31,19,36
4/23/2014,24,9,33
4/24/2014,21,9,36
4/25/2014,28,12,35
4/26/2014,25,10,30
4/27/2014,24,13,30
4/28/2014,20,7,28
4/29/2014,13,4,17
4/30/2014,13,5,20
5/1/2014,20,6,23
5/2/2014,21,8,28
5/3/2014,29,16,
5/4/2014,22,15,25
5/5/2014,30,17,36
5/6/2014,25,11,32
5/7/2014,23,12,93
5/8/2014,18,10,23
5/9/2014,29,16,35
5/10/2014,26,12,30
5/11/2014,25,10,32
5/12/2014,15,6,31
5/13/2014,15,5,21
5/14/2014,15,6,17
5/15/2014,20,6,21
5/16/2014,22,12,25
5/17/2014,22,13,29
5/18/2014,29,16,33
5/19/2014,28,16,32
5/20/2014,22,11,25
5/21/2014,22,11,24
5/22/2014,18,11,22
5/23/2014,22,10,28
5/24/2014,20,10,26
5/25/2014,17,8,20
5/26/2014,20,8,23
5/27/2014,18,8,24
5/28/2014,22,9,26
5/29/2014,20,8,23
5/30/2014,20,12,24
5/31/2014,18,10,22
6/1/2014,17,9,32
6/2/2014,23,11,44
6/3/2014,20,11,
6/4/2014,20,8,21
6/5/2014,21,11,25
6/6/2014,21,10,24
6/7/2014,18,8,23
6/8/2014,18,7,23
6/9/2014,22,10,25
6/10/2014,23,10,28
6/11/2014,23,12,31
6/12/2014,21,14,25
6/13/2014,17,8,23
6/14/2014,23,9,25
6/15/2014,24,13,26
6/16/2014,22,14,26
6/17/2014,21,7,23
6/18/2014,21,7,23
6/19/2014,22,9,32
6/20/2014,22,10,24
6/21/2014,20,8,23
6/22/2014,25,12,30
6/23/2014,20,9,29
6/24/2014,21,10,26
6/25/2014,21,13,33
6/26/2014,18,12,32
6/27/2014,21,9,29
6/28/2014,20,9,25
6/29/2014,18,8,22
6/30/2014,20,9,35
7/1/2014,21,10,29
7/2/2014,21,11,23
7/3/2014,18,10,25
7/4/2014,21,9,24
7/5/2014,18,7,32
7/6/2014,21,10,25
7/7/2014,23,9,35
7/8/2014,18,9,28
7/9/2014,20,8,23
7/10/2014,18,9,22
7/11/2014,22,13,25
7/12/2014,23,12,25
7/13/2014,16,8,21
7/14/2014,24,9,30
7/15/2014,20,11,23
7/16/2014,23,14,28
7/17/2014,21,13,24
7/18/2014,20,12,23
7/19/2014,20,10,24
7/20/2014,20,11,25
7/21/2014,20,11,22
7/22/2014,21,10,30
7/23/2014,20,9,23
7/24/2014,17,7,20
7/25/2014,18,8,22
7/26/2014,21,11,23
7/27/2014,23,11,25
7/28/2014,21,10,24
